tid,detailedness,novelty,usefulness
7,3.00,1.50,3.00
9,0.00,2.00,1.50
10,3.50,2.00,4.00
11,0.00,4.50,4.00
14,0.00,2.50,3.00
18,4.00,3.00,4.00
19,0.00,3.00,4.00
22,0.00,2.00,3.00
23,4.00,4.50,2.50
24,4.50,3.00,3.50
25,0.00,4.00,4.50
27,4.00,2.00,3.50
28,4.00,1.50,4.00
30,4.50,4.50,4.50
35,5.00,2.50,4.00
36,4.50,2.50,3.50
37,0.00,2.50,4.00
41,4.50,3.00,1.50
42,0.00,2.00,3.50
46,0.00,3.50,3.00
47,4.00,3.00,3.00
48,0.00,3.50,3.00
49,5.00,4.00,5.00
50,4.50,4.00,2.00
51,0.00,2.50,3.00
55,5.00,4.00,4.50
56,5.00,2.00,3.50
57,0.00,4.50,4.50
59,5.00,2.50,4.50
60,4.50,1.00,4.50
61,5.00,1.50,5.00
63,0.00,2.50,3.50
65,0.00,4.00,2.50
66,5.00,5.00,5.00
67,4.00,1.50,2.75
68,5.00,3.50,4.50
69,5.00,4.00,4.50
72,5.00,5.00,5.00
73,4.50,3.00,4.00
74,5.00,4.50,4.50
75,4.50,4.50,4.50
76,4.00,4.00,2.50
80,-1.00,3.50,4.00
83,0.00,4.50,4.00
88,5.00,5.00,4.00
89,5.00,5.00,3.50
91,3.50,4.50,3.50
93,0.00,2.50,3.50
96,4.00,1.50,2.50
99,-1.00,4.50,5.00
100,0.00,4.00,3.50
102,5.00,4.50,4.50
104,5.00,5.00,5.00
106,0.00,2.00,4.00
107,3.50,4.50,4.50
108,4.00,5.00,4.50
110,0.00,3.50,3.00
111,4.50,4.50,3.00
113,0.00,1.50,3.50
116,0.00,3.50,3.00
118,4.00,4.00,4.00
122,4.50,1.50,4.00
123,4.50,3.50,4.50
125,-1.00,3.00,3.50
126,4.00,2.00,4.50
131,4.00,2.00,4.00
136,4.50,4.00,4.00
137,4.50,1.50,4.00
138,0.00,2.50,4.00
139,0.00,3.50,2.50
140,4.50,4.50,4.00
141,5.00,4.00,3.50
142,3.50,2.00,3.50
143,4.00,3.50,4.00
145,4.50,3.00,4.50
150,0.00,4.50,5.00
153,0.00,2.50,4.00
155,0.00,1.00,3.50
156,5.00,3.00,4.00
158,4.50,4.00,5.00
159,0.00,1.00,2.50
160,2.50,1.00,3.00
161,5.00,2.50,3.75
163,4.00,2.00,4.00
167,4.00,3.00,5.00
168,3.50,1.50,2.50
170,5.00,2.00,5.00
174,5.00,4.50,5.00
175,4.00,5.00,4.50
176,5.00,4.50,4.50
177,4.50,1.50,4.50
178,3.00,1.50,4.00
179,3.50,1.50,2.50
180,0.00,1.50,1.00
181,0.00,3.00,4.00
183,0.00,3.50,4.50
184,0.00,3.00,3.00
187,4.00,4.50,4.00
188,0.00,4.00,3.00
189,0.00,3.00,4.50
191,4.50,2.00,3.25
194,0.00,2.50,3.00
195,3.50,3.00,3.25
197,4.50,1.00,4.00
198,0.00,3.50,3.50
199,4.00,2.00,4.00
203,5.00,4.50,4.75
204,4.00,4.50,2.00
205,4.00,2.50,4.00
206,4.50,2.50,4.50
207,4.00,3.50,1.00
208,5.00,3.50,4.00
209,3.50,2.00,3.00
210,0.00,2.50,5.00
212,4.00,2.50,4.00
217,0.00,4.00,4.00
218,0.00,1.50,2.50
219,-1.00,3.00,3.50
224,3.00,3.50,4.00
225,0.00,2.50,3.00
226,0.00,4.00,3.00
229,3.50,2.00,2.50
230,4.00,5.00,4.00
231,4.50,4.50,3.00
237,3.00,2.50,4.00
238,0.00,3.00,3.50
239,0.00,3.00,4.00
241,4.00,2.50,3.25
245,4.50,4.50,5.00
247,0.00,1.00,3.00
248,4.00,4.50,4.50
250,0.00,4.00,3.00
251,4.50,3.00,4.50
252,5.00,3.50,4.50
253,0.00,1.00,2.00
256,3.00,5.00,4.50
257,3.00,1.00,4.00
261,0.00,2.50,4.50
262,-1.00,3.00,4.00
263,0.00,3.50,3.50
271,4.00,4.00,4.00
272,4.50,1.50,3.50
276,4.50,4.50,4.50
278,4.00,2.50,4.00
280,0.00,3.00,4.00
282,4.00,3.50,3.00
283,4.50,4.50,4.50
287,0.00,1.00,3.00
289,0.00,2.00,3.50
290,5.00,3.00,5.00
291,5.00,3.50,5.00
292,4.00,2.00,4.00
293,0.00,3.50,4.00
294,4.00,3.50,4.50
295,0.00,2.50,3.00
296,4.50,4.00,5.00
