id,question_id,user_id,description,created_at
25,1,36,30,"2016-08-09 22:23:47"
26,2,36,High,"2016-08-09 22:23:47"
27,4,36,3,"2016-08-09 22:23:47"
28,5,36,2,"2016-08-09 22:23:47"
29,6,36,5,"2016-08-09 22:23:47"
30,7,36,1,"2016-08-09 22:23:47"
31,8,36,3,"2016-08-09 22:23:47"
32,9,36,4,"2016-08-09 22:23:47"
33,12,36,,"2016-08-09 22:23:47"
34,1,37,"40 minutes","2016-08-09 22:35:21"
35,2,37,Medium,"2016-08-09 22:35:21"
36,4,37,5,"2016-08-09 22:35:21"
37,5,37,1,"2016-08-09 22:35:21"
38,6,37,4,"2016-08-09 22:35:21"
39,7,37,2,"2016-08-09 22:35:21"
40,8,37,4,"2016-08-09 22:35:21"
41,9,37,4,"2016-08-09 22:35:21"
42,12,37,"thanks, that was fun :)","2016-08-09 22:35:21"
43,1,41,00:15,"2016-08-09 22:47:44"
44,2,41,Medium,"2016-08-09 22:47:44"
45,4,41,4,"2016-08-09 22:47:44"
46,5,41,2,"2016-08-09 22:47:44"
47,6,41,1,"2016-08-09 22:47:44"
48,7,41,5,"2016-08-09 22:47:44"
49,10,41,1,"2016-08-09 22:47:44"
50,11,41,1,"2016-08-09 22:47:44"
51,12,41,,"2016-08-09 22:47:44"
52,1,38,"45 minutes","2016-08-09 22:53:04"
53,2,38,High,"2016-08-09 22:53:04"
54,4,38,3,"2016-08-09 22:53:04"
55,5,38,2,"2016-08-09 22:53:05"
56,6,38,3,"2016-08-09 22:53:05"
57,7,38,5,"2016-08-09 22:53:05"
58,8,38,2,"2016-08-09 22:53:05"
59,9,38,3,"2016-08-09 22:53:05"
60,12,38,,"2016-08-09 22:53:05"
61,1,42,00:35,"2016-08-09 23:42:23"
62,2,42,Easy,"2016-08-09 23:42:23"
63,4,42,5,"2016-08-09 23:42:23"
64,5,42,2,"2016-08-09 23:42:23"
65,6,42,5,"2016-08-09 23:42:23"
66,7,42,1,"2016-08-09 23:42:23"
67,10,42,3,"2016-08-09 23:42:23"
68,11,42,3,"2016-08-09 23:42:23"
69,12,42,,"2016-08-09 23:42:23"
70,1,40,:45,"2016-08-10 00:43:25"
71,2,40,High,"2016-08-10 00:43:25"
72,4,40,4,"2016-08-10 00:43:25"
73,5,40,1,"2016-08-10 00:43:25"
74,6,40,4,"2016-08-10 00:43:25"
75,7,40,2,"2016-08-10 00:43:25"
76,10,40,1,"2016-08-10 00:43:25"
77,11,40,1,"2016-08-10 00:43:25"
78,12,40,,"2016-08-10 00:43:25"
79,1,34,30,"2016-08-10 08:33:49"
80,2,34,High,"2016-08-10 08:33:49"
81,4,34,2,"2016-08-10 08:33:49"
82,5,34,5,"2016-08-10 08:33:49"
83,6,34,2,"2016-08-10 08:33:49"
84,7,34,2,"2016-08-10 08:33:49"
85,12,34,,"2016-08-10 08:33:49"
86,1,47,"30 minutes","2016-08-10 12:23:32"
87,2,47,Medium,"2016-08-10 12:23:32"
88,4,47,3,"2016-08-10 12:23:32"
89,5,47,2,"2016-08-10 12:23:32"
90,6,47,3,"2016-08-10 12:23:32"
91,7,47,3,"2016-08-10 12:23:32"
92,12,47,none,"2016-08-10 12:23:32"
93,1,53,1:40,"2016-08-10 17:29:26"
94,2,53,Easy,"2016-08-10 17:29:26"
95,4,53,5,"2016-08-10 17:29:26"
96,5,53,1,"2016-08-10 17:29:26"
97,6,53,5,"2016-08-10 17:29:26"
98,7,53,1,"2016-08-10 17:29:26"
99,10,53,1,"2016-08-10 17:29:26"
100,11,53,1,"2016-08-10 17:29:26"
101,12,53,"I didn't see any team members so I doubt there was any at this time. And I can't answer to the full extent to the three last questions. Also, please have a look at the code for the "Cancel" button. It uses the code from the "Submit" button.","2016-08-10 17:29:26"
102,1,58,"I honestly don't know; I wasn't keeping track. It wasn't hours and hours, but it was certainly more than 30 minutes.","2016-08-10 22:22:29"
103,2,58,Medium,"2016-08-10 22:22:29"
104,4,58,4,"2016-08-10 22:22:29"
105,5,58,1,"2016-08-10 22:22:29"
106,6,58,4,"2016-08-10 22:22:29"
107,7,58,3,"2016-08-10 22:22:29"
108,12,58,"Having to conform one's ideas to the provided template is both helpful and unhelpful. Sorry to be so vague.","2016-08-10 22:22:29"
109,1,56,"30 minutes or so","2016-08-10 23:13:57"
110,2,56,Medium,"2016-08-10 23:13:57"
111,4,56,4,"2016-08-10 23:13:57"
112,5,56,2,"2016-08-10 23:13:57"
113,6,56,5,"2016-08-10 23:13:57"
114,7,56,3,"2016-08-10 23:13:57"
115,12,56,,"2016-08-10 23:13:57"
116,1,61,"15 minutes","2016-08-11 01:15:35"
117,2,61,"Very easy","2016-08-11 01:15:35"
118,4,61,3,"2016-08-11 01:15:35"
119,5,61,3,"2016-08-11 01:15:35"
120,6,61,4,"2016-08-11 01:15:35"
121,7,61,1,"2016-08-11 01:15:35"
122,12,61,"I think it was annoying and unnecessary to have to wait so long to submit this task","2016-08-11 01:15:35"
123,1,51,01:00,"2016-08-11 07:11:31"
124,2,51,Medium,"2016-08-11 07:11:31"
125,4,51,4,"2016-08-11 07:11:31"
126,5,51,2,"2016-08-11 07:11:31"
127,6,51,3,"2016-08-11 07:11:31"
128,7,51,2,"2016-08-11 07:11:31"
129,8,51,1,"2016-08-11 07:11:31"
130,9,51,3,"2016-08-11 07:11:31"
131,12,51,"This was a bit challenging, with a little demand for research oriented process of thought, in brief it was entertaining, thanks.","2016-08-11 07:11:31"
132,1,63,00:35,"2016-08-11 08:16:28"
133,2,63,Medium,"2016-08-11 08:16:28"
134,4,63,4,"2016-08-11 08:16:28"
135,5,63,1,"2016-08-11 08:16:28"
136,6,63,4,"2016-08-11 08:16:28"
137,7,63,1,"2016-08-11 08:16:28"
138,8,63,1,"2016-08-11 08:16:28"
139,9,63,3,"2016-08-11 08:16:28"
140,12,63,"I didn't have any team members.","2016-08-11 08:16:28"
141,1,68,90,"2016-08-11 22:10:15"
142,2,68,High,"2016-08-11 22:10:15"
143,4,68,4,"2016-08-11 22:10:15"
144,5,68,1,"2016-08-11 22:10:15"
145,6,68,3,"2016-08-11 22:10:15"
146,7,68,1,"2016-08-11 22:10:15"
147,1,71,"00:35 mins","2016-08-11 22:36:39"
148,2,71,Medium,"2016-08-11 22:36:39"
149,4,71,4,"2016-08-11 22:36:39"
150,5,71,2,"2016-08-11 22:36:39"
151,6,71,4,"2016-08-11 22:36:39"
152,7,71,3,"2016-08-11 22:36:39"
153,12,71,"was very fun and interesting to do","2016-08-11 22:36:39"
154,1,65,00:45,"2016-08-12 01:10:44"
155,2,65,High,"2016-08-12 01:10:44"
156,4,65,4,"2016-08-12 01:10:44"
157,5,65,2,"2016-08-12 01:10:44"
158,6,65,4,"2016-08-12 01:10:44"
159,7,65,4,"2016-08-12 01:10:44"
160,8,65,5,"2016-08-12 01:10:44"
161,9,65,3,"2016-08-12 01:10:44"
162,12,65,,"2016-08-12 01:10:44"
163,1,72,30minutes,"2016-08-12 14:46:48"
164,2,72,"Very easy","2016-08-12 14:46:48"
165,4,72,5,"2016-08-12 14:46:48"
166,5,72,1,"2016-08-12 14:46:48"
167,6,72,5,"2016-08-12 14:46:48"
168,7,72,2,"2016-08-12 14:46:48"
169,8,72,1,"2016-08-12 14:46:48"
170,9,72,1,"2016-08-12 14:46:48"
171,12,72,"Didn't had any team members doing the HIT while I was completing it.","2016-08-12 14:46:48"
172,1,86,"45 minutes","2016-08-12 18:46:48"
173,2,86,High,"2016-08-12 18:46:48"
174,4,86,4,"2016-08-12 18:46:48"
175,5,86,1,"2016-08-12 18:46:48"
176,6,86,4,"2016-08-12 18:46:48"
177,7,86,4,"2016-08-12 18:46:48"
178,12,86,"I followed the instructions and hope the format I used is acceptable.","2016-08-12 18:46:48"
179,1,78,"30 minutes","2016-08-12 18:50:42"
180,2,78,Medium,"2016-08-12 18:50:42"
181,4,78,4,"2016-08-12 18:50:42"
182,5,78,3,"2016-08-12 18:50:42"
183,6,78,2,"2016-08-12 18:50:42"
184,7,78,3,"2016-08-12 18:50:42"
185,8,78,1,"2016-08-12 18:50:42"
186,9,78,1,"2016-08-12 18:50:42"
187,12,78,,"2016-08-12 18:50:42"
188,1,84,"30 minutes","2016-08-12 19:09:12"
189,2,84,Medium,"2016-08-12 19:09:12"
190,4,84,2,"2016-08-12 19:09:12"
191,5,84,3,"2016-08-12 19:09:12"
192,6,84,2,"2016-08-12 19:09:12"
193,7,84,4,"2016-08-12 19:09:12"
194,10,84,1,"2016-08-12 19:09:12"
195,11,84,1,"2016-08-12 19:09:12"
196,12,84,"No team members made comments or asked questions.","2016-08-12 19:09:12"
197,1,105,15,"2016-08-12 19:09:40"
198,2,105,Medium,"2016-08-12 19:09:40"
199,4,105,3,"2016-08-12 19:09:40"
200,5,105,3,"2016-08-12 19:09:40"
201,6,105,2,"2016-08-12 19:09:40"
202,7,105,4,"2016-08-12 19:09:40"
203,12,105,"I'm not sure if I understood the directions completely, however I did my best. Thank you for the fun HIT!","2016-08-12 19:09:40"
204,1,107,00:45,"2016-08-12 19:18:37"
205,2,107,Medium,"2016-08-12 19:18:37"
206,4,107,4,"2016-08-12 19:18:37"
207,5,107,1,"2016-08-12 19:18:37"
208,6,107,4,"2016-08-12 19:18:37"
209,7,107,2,"2016-08-12 19:18:37"
210,8,107,4,"2016-08-12 19:18:37"
211,9,107,4,"2016-08-12 19:18:37"
212,12,107,"One of the most fun surveys in a while, i wish i could give more and better ideas.","2016-08-12 19:18:37"
213,1,104,00:30,"2016-08-12 19:31:07"
214,2,104,Medium,"2016-08-12 19:31:07"
215,4,104,3,"2016-08-12 19:31:07"
216,5,104,2,"2016-08-12 19:31:07"
217,6,104,4,"2016-08-12 19:31:07"
218,7,104,2,"2016-08-12 19:31:07"
219,12,104,,"2016-08-12 19:31:07"
220,1,110,20,"2016-08-12 19:31:12"
221,2,110,Medium,"2016-08-12 19:31:12"
222,4,110,3,"2016-08-12 19:31:12"
223,5,110,4,"2016-08-12 19:31:12"
224,6,110,5,"2016-08-12 19:31:12"
225,7,110,1,"2016-08-12 19:31:12"
226,10,110,3,"2016-08-12 19:31:12"
227,11,110,2,"2016-08-12 19:31:12"
228,12,110,,"2016-08-12 19:31:12"
229,1,98,16,"2016-08-12 19:31:53"
230,2,98,Easy,"2016-08-12 19:31:53"
231,4,98,4,"2016-08-12 19:31:53"
232,5,98,2,"2016-08-12 19:31:53"
233,6,98,4,"2016-08-12 19:31:53"
234,7,98,2,"2016-08-12 19:31:53"
235,8,98,2,"2016-08-12 19:31:53"
236,9,98,3,"2016-08-12 19:31:53"
237,12,98,"thank you for the interesting HIT","2016-08-12 19:31:53"
238,1,108,10,"2016-08-12 19:41:36"
239,2,108,Easy,"2016-08-12 19:41:36"
240,4,108,4,"2016-08-12 19:41:36"
241,5,108,3,"2016-08-12 19:41:36"
