id,question_id,user_id,description,created_at
4130,1,33,Female,"2016-09-03 20:51:08"
4131,2,33,"25 to 34","2016-09-03 20:51:08"
4132,3,33,"Bachelor degree","2016-09-03 20:51:08"
4133,4,33,"industrial design","2016-09-03 20:51:08"
4134,5,33,No,"2016-09-03 20:51:08"
4135,6,33,Medium,"2016-09-03 20:51:08"
4136,7,33,Medium,"2016-09-03 20:51:08"
4137,8,33,No,"2016-09-03 20:51:08"
4138,9,33,,"2016-09-03 20:51:08"
55,1,34,Male,"2016-08-09 18:57:58"
56,2,34,"25 to 34","2016-08-09 18:57:58"
57,3,34,"Bachelor degree","2016-08-09 18:57:58"
58,4,34,"Criminal Justice","2016-08-09 18:57:58"
59,5,34,No,"2016-08-09 18:57:58"
60,6,34,Medium,"2016-08-09 18:57:58"
61,7,34,Medium,"2016-08-09 18:57:58"
62,8,34,"Not sure","2016-08-09 18:57:58"
63,9,34,,"2016-08-09 18:57:58"
64,1,36,Male,"2016-08-09 19:24:32"
65,2,36,"25 to 34","2016-08-09 19:24:32"
66,3,36,"Some college but no degree","2016-08-09 19:24:32"
67,4,36,"Arts and Humanities","2016-08-09 19:24:32"
68,5,36,No,"2016-08-09 19:24:32"
69,6,36,Medium,"2016-08-09 19:24:32"
70,7,36,Medium,"2016-08-09 19:24:32"
71,8,36,Yes,"2016-08-09 19:24:32"
72,9,36,,"2016-08-09 19:24:32"
73,1,37,Female,"2016-08-09 19:35:20"
74,2,37,"35 to 45","2016-08-09 19:35:20"
75,3,37,"Some college but no degree","2016-08-09 19:35:20"
76,4,37,general,"2016-08-09 19:35:20"
77,5,37,No,"2016-08-09 19:35:20"
78,6,37,Medium,"2016-08-09 19:35:20"
79,7,37,Medium,"2016-08-09 19:35:20"
80,8,37,"Not sure","2016-08-09 19:35:20"
81,9,37,"Well, my heater can be adjusted to go on and off based on temp setting, don't know if that counts.","2016-08-09 19:35:20"
82,1,38,Male,"2016-08-09 19:41:28"
83,2,38,"35 to 45","2016-08-09 19:41:28"
84,3,38,"Bachelor degree","2016-08-09 19:41:28"
85,4,38,"Industrial Engineering","2016-08-09 19:41:28"
86,5,38,No,"2016-08-09 19:41:28"
87,6,38,"Very high","2016-08-09 19:41:28"
88,7,38,"Very high","2016-08-09 19:41:28"
89,8,38,No,"2016-08-09 19:41:28"
90,9,38,,"2016-08-09 19:41:28"
118,1,40,Male,"2016-08-09 23:22:19"
119,2,40,"35 to 45","2016-08-09 23:22:19"
120,3,40,"Some college but no degree","2016-08-09 23:22:19"
121,4,40,"Graphic Design","2016-08-09 23:22:19"
122,5,40,No,"2016-08-09 23:22:19"
123,6,40,Medium,"2016-08-09 23:22:19"
124,7,40,Medium,"2016-08-09 23:22:19"
125,8,40,No,"2016-08-09 23:22:19"
126,9,40,,"2016-08-09 23:22:19"
91,1,41,Male,"2016-08-09 19:49:32"
92,2,41,"25 to 34","2016-08-09 19:49:32"
93,3,41,"Some college but no degree","2016-08-09 19:49:32"
94,4,41,N/A,"2016-08-09 19:49:32"
95,5,41,No,"2016-08-09 19:49:32"
96,6,41,Medium,"2016-08-09 19:49:32"
97,7,41,Low,"2016-08-09 19:49:32"
98,8,41,No,"2016-08-09 19:49:32"
99,9,41,,"2016-08-09 19:49:32"
100,1,42,Male,"2016-08-09 20:40:09"
101,2,42,"25 to 34","2016-08-09 20:40:09"
102,3,42,"Bachelor degree","2016-08-09 20:40:09"
103,4,42,"Computer Science","2016-08-09 20:40:09"
104,5,42,"Yes; for more than five years","2016-08-09 20:40:09"
105,6,42,High,"2016-08-09 20:40:09"
106,7,42,High,"2016-08-09 20:40:09"
107,8,42,Yes,"2016-08-09 20:40:09"
108,9,42,,"2016-08-09 20:40:09"
3105,1,44,Male,"2016-09-01 02:42:39"
3106,2,44,"35 to 45","2016-09-01 02:42:39"
3107,3,44,"High school degree or equivalent (e.g., GED)","2016-09-01 02:42:39"
3108,4,44,n/a,"2016-09-01 02:42:39"
3109,5,44,No,"2016-09-01 02:42:39"
3110,6,44,Low,"2016-09-01 02:42:39"
3111,7,44,High,"2016-09-01 02:42:39"
3112,8,44,No,"2016-09-01 02:42:39"
3113,9,44,,"2016-09-01 02:42:39"
136,1,47,Male,"2016-08-10 08:54:06"
137,2,47,"35 to 45","2016-08-10 08:54:06"
138,3,47,"Bachelor degree","2016-08-10 08:54:06"
139,4,47,Engineering,"2016-08-10 08:54:06"
140,5,47,No,"2016-08-10 08:54:06"
141,6,47,Medium,"2016-08-10 08:54:06"
142,7,47,High,"2016-08-10 08:54:06"
143,8,47,Yes,"2016-08-10 08:54:06"
144,9,47,,"2016-08-10 08:54:06"
163,1,51,Male,"2016-08-10 14:02:35"
164,2,51,"25 to 34","2016-08-10 14:02:35"
165,3,51,"Bachelor degree","2016-08-10 14:02:35"
166,4,51,"computer science","2016-08-10 14:02:35"
167,5,51,No,"2016-08-10 14:02:35"
168,6,51,Medium,"2016-08-10 14:02:35"
169,7,51,Medium,"2016-08-10 14:02:35"
170,8,51,No,"2016-08-10 14:02:35"
171,9,51,,"2016-08-10 14:02:35"
181,1,53,Male,"2016-08-10 14:34:21"
