id,gid,group_type,created_at,completion,personality,state,completion_code
77,52,1,8/12/16 15:43,2,S,7,BWOE5DDF7N
86,49,1,8/12/16 15:44,2,S,7,S92W2ICZ3P
88,49,1,8/12/16 15:45,2,S,7,AOMP2C2I85
89,52,1,8/12/16 15:45,2,S,7,XOB2VOZDTW
91,-1,1,8/12/16 15:47,2,C,7,ZJUNBD8WF0
103,52,1,8/12/16 16:03,2,I,7,DZET39HOF0
104,58,1,8/12/16 16:03,2,C,7,GYYY21GEXO
105,55,1,8/12/16 16:04,2,S,7,AL2C0QYPKS
117,55,1,8/12/16 17:07,2,S,7,59OSWYAGEY
122,58,1,8/12/16 17:40,2,D,7,RV9HN4GEPS
133,61,1,8/12/16 23:01,2,I,7,16M9LOWC9H
134,61,1,8/12/16 23:19,2,D,7,5PT1ZEHHLL
142,64,1,8/13/16 0:54,2,I,7,3RA33GIQG6
145,64,1,8/13/16 2:12,2,I,7,LY8VPFU411
152,70,1,8/13/16 15:44,2,D,7,PC8SQF2NNE
159,67,1,8/13/16 15:50,2,C,7,LGQ3BFA25J
164,70,1,8/13/16 16:11,2,S,7,30NXQZAERO
172,73,1,8/13/16 19:11,2,I,7,SFF0QVWYQ3
174,73,1,8/13/16 20:08,2,C,7,UJ69HMSXPN
183,76,1,8/14/16 9:07,2,D,7,ZFUIDW3L6V
184,76,1,8/14/16 10:51,2,D,7,5YBKSA813P
186,76,1,8/14/16 12:16,2,I,7,PAVPLGBC6M
206,-1,1,8/15/16 14:26,2,C,7,G4KMYLLKI6
222,-1,1,8/15/16 14:47,2,C,7,5I1BOZ3HL0
229,-1,1,8/15/16 14:59,2,D,7,KKKSL7LNLW
234,84,1,8/15/16 15:21,2,I,7,QFCP1034JP
254,89,1,8/15/16 17:18,2,I,7,UDYY75BTHP
259,89,1,8/15/16 17:41,2,S,7,MT8HYO2EWE
319,99,1,8/16/16 15:10,2,C,7,PGN4IO8J8C
321,99,1,8/16/16 15:18,2,S,7,8LJ73QNNG8
322,0,1,8/16/16 15:43,2,I,7,KCEUPV3F9O
326,99,1,8/16/16 15:57,2,D,7,VGURXHPI3L
338,0,1,8/16/16 19:18,2,C,7,U202UFX6WD
341,102,1,8/16/16 19:26,2,S,7,FO8Q7J418Z
342,102,1,8/16/16 19:36,2,D,7,WYIEAUMJ6N
344,102,1,8/16/16 19:56,2,S,7,N5V56E40U2
356,0,1,8/17/16 2:22,2,S,7,PZ2JDKA836
357,0,1,8/17/16 7:19,2,I,7,V931FC1DLM
360,0,1,8/17/16 9:01,2,C,7,LWMXTOECAC
364,0,1,8/17/16 11:08,2,C,7,55I0SNEEIN
457,206,1,9/1/16 8:45,2,C,7,COS3KL60P4
622,179,1,9/8/16 15:53,2,C,7,33ZCFF5W4Q
628,182,1,9/8/16 15:54,2,C,7,WTS1Z9POQD
631,176,1,9/8/16 15:54,2,S,7,9WTEGTXWCS
633,182,1,9/8/16 15:54,2,S,7,JLM2O7WVHL
640,185,1,9/8/16 15:54,2,C,7,U706928G7Z
650,182,1,9/8/16 15:57,2,S,7,FOS8JOBDO8
656,179,1,9/8/16 16:01,2,C,7,T3Z6RYQ6EV
659,188,1,9/8/16 16:02,2,S,7,D6VOJT1N0K
665,185,1,9/8/16 16:07,2,C,7,K5DEFB6BXP
668,185,1,9/8/16 16:10,2,S,7,KP97STCQSZ
674,-1,1,9/8/16 16:26,2,C,7,UUW3KY9X1M
