requirement_id,user_id,application_domain,tags,novelty,usefulness,clarity
11,5,Health,"food, delivery, dinner, voice",4,2,4
11,5,Health,"food, delivery, dinner, voice",4,5,5
12,5,Energy,"lights, turn on, night",2,5,5
12,5,Energy,"lights, turn on, night",1,4,5
13,5,Entertainment,"music, biorhythm, mood",4,4,5
13,5,Entertainment,"music, biorhythm, mood",3,2,2
13,5,Entertainment,"music, biorhythm, mood",4,5,3
13,5,Entertainment,"music, biorhythm, mood",2,4,3
14,16,Entertainment,television,1,4,5
14,16,Entertainment,television,4,5,5
15,9,Energy,"school, classes, student",2,5,4
15,9,Energy,"school, classes, student",4,5,3
15,9,Energy,"school, classes, student",4,5,5
17,5,Energy,"thermostat, regulate",5,4,4
18,16,Safety,"school, children",4,5,5
18,16,Safety,"school, children",1,5,5
18,16,Safety,"school, children",4,5,5
19,16,Entertainment,"sports, hockey",5,1,3
19,16,Entertainment,"sports, hockey",5,1,3
19,16,Entertainment,"sports, hockey",5,3,4
20,5,Safety,"child, monitor, status",4,1,2
20,5,Safety,"child, monitor, status",4,5,5
20,5,Safety,"child, monitor, status",4,3,4
21,5,Safety,"child, arrival, departure, front door, status, update",5,5,5
21,5,Safety,"child, arrival, departure, front door, status, update",3,3,4
22,16,Energy,cooking,3,3,5
22,16,Energy,cooking,2,3,2
22,16,Energy,cooking,1,1,4
22,16,Energy,cooking,5,4,4
23,5,Entertainment,"television, automatic",4,2,4
23,5,Entertainment,"television, automatic",3,2,4
23,5,Entertainment,"television, automatic",3,2,4
25,5,Health,"morning, alarm, lights, shower",5,5,5
25,5,Health,"morning, alarm, lights, shower",5,3,5
26,16,Health,"teeth, sink",2,3,5
26,16,Health,"teeth, sink",5,3,5
27,16,Safety,teenagers,1,4,5
27,16,Safety,teenagers,3,5,5
28,5,Health,food,5,3,1
28,5,Health,food,4,3,5
28,5,Health,food,5,1,2
29,9,Entertainment,"Music, Songs, Entertainment",1,4,3
29,9,Entertainment,"Music, Songs, Entertainment",5,5,5
29,9,Entertainment,"Music, Songs, Entertainment",3,4,4
31,16,Energy,thermostat,5,5,5
31,16,Energy,thermostat,3,5,5
34,16,Energy,"electricity, lights",5,5,5
34,16,Energy,"electricity, lights",1,5,5
34,16,Energy,"electricity, lights",1,5,5
35,17,Energy,"sprinkler,automatic",2,5,5
35,17,Energy,"sprinkler,automatic",4,2,4
35,17,Energy,"sprinkler,automatic",3,5,5
35,17,Energy,"sprinkler,automatic",4,3,5
37,13,Energy,,1,5,5
37,13,Energy,,3,5,4
37,13,Energy,,1,5,5
38,16,Safety,baby,1,5,5
38,16,Safety,baby,2,4,4
39,9,Energy,"temperature, energy, home",1,5,5
39,9,Energy,"temperature, energy, home",1,5,4
40,5,Safety,"outdoor, light, safety",5,5,5
40,5,Safety,"outdoor, light, safety",3,4,5
40,5,Safety,"outdoor, light, safety",1,5,5
41,5,Safety,"motion sensor, camera, outdoor, warning, stranger",4,5,4
43,13,Energy,,1,4,5
43,13,Energy,,4,4,4
43,13,Energy,,1,5,5
44,17,Safety,"motion detector, safe, hallways",4,4,3
44,17,Safety,"motion detector, safe, hallways",4,4,4
48,17,Entertainment,"fragrance, automated",4,4,4
48,17,Entertainment,"fragrance, automated",5,4,5
50,13,Energy,,3,5,5
50,13,Energy,,4,5,5
50,13,Energy,,4,4,5
52,9,Safety,"home owner, carbon monoxide, safety",4,5,5
54,17,Safety,"child, safety ",3,4,3
54,17,Safety,"child, safety ",4,4,3
55,13,Safety,,3,4,4
55,13,Safety,,3,4,4
55,13,Safety,,3,5,5
58,17,Health,"pet, food,bowl",2,5,4
58,17,Health,"pet, food,bowl",2,5,5
58,17,Health,"pet, food,bowl",1,4,5
58,17,Health,"pet, food,bowl",4,4,5
59,9,Health,"Food, Health, Cooking",4,4,4
59,9,Health,"Food, Health, Cooking",4,4,4
59,9,Health,"Food, Health, Cooking",4,3,3
61,26,Health,,4,3,3
61,26,Health,,4,5,5
61,26,Health,,4,3,3
62,17,Health,"temprature, sensors",5,4,5
62,17,Health,"temprature, sensors",4,5,5
62,17,Health,"temprature, sensors",1,4,3
63,13,Safety,,1,1,5
63,13,Safety,,1,2,4
63,13,Safety,,3,3,5
64,9,Safety,"video camera, safety",4,4,4
64,9,Safety,"video camera, safety",1,3,4
64,9,Safety,"video camera, safety",5,5,5
64,9,Safety,"video camera, safety",2,5,5
66,9,Entertainment,"news, updates, products",5,4,5
66,9,Entertainment,"news, updates, products",5,5,5
66,9,Entertainment,"news, updates, products",3,3,4
67,26,Health,,5,5,5
68,9,Health,"back pain, health, bed",4,2,3
68,9,Health,"back pain, health, bed",5,3,2
69,13,Health,,3,4,3
69,13,Health,,4,5,5
69,13,Health,,2,3,4
71,17,Entertainment,"music,mood,detector",4,4,5
71,17,Entertainment,"music,mood,detector",5,5,4
71,17,Entertainment,"music,mood,detector",1,3,3
72,26,Energy,,3,5,5
72,26,Energy,,4,2,4
72,26,Energy,,3,4,5
73,13,Health,,4,3,5
73,13,Health,,3,3,5
75,26,Safety,,3,4,4
75,26,Safety,,4,4,5
75,26,Safety,,1,5,5
75,26,Safety,,4,3,3
76,17,Safety,"child,safety",4,3,4
77,22,Safety,stovetop app,4,4,5
77,22,Safety,stovetop app,4,4,3
78,26,Entertainment,,4,3,4
78,26,Entertainment,,5,5,4
80,22,Safety,oven app/tablet smartphone,5,2,5
82,13,Health,,5,5,5
82,13,Health,,3,4,4
82,13,Health,,1,5,5
83,17,Safety,"motion detectors,safety",3,3,2
83,17,Safety,"motion detectors,safety",5,5,5
84,22,Safety,garage door,2,5,3
84,22,Safety,garage door,5,5,5
84,22,Safety,garage door,5,3,4
84,22,Safety,garage door,4,4,5
85,14,Health,student,5,3,5
85,14,Health,student,1,5,1
85,14,Health,student,1,3,4
86,17,Health,"healthy air, pollution check",3,5,3
86,17,Health,"healthy air, pollution check",5,5,5
86,17,Health,"healthy air, pollution check",2,3,3
87,13,Entertainment,,5,4,5
87,13,Entertainment,,4,3,5
88,28,Energy,"energy, bill, electricity",2,4,4
88,28,Energy,"energy, bill, electricity",3,4,4
88,28,Energy,"energy, bill, electricity",1,5,5
90,22,Energy,thermostat,3,5,5
90,22,Energy,thermostat,1,5,5
90,22,Energy,thermostat,4,5,4
91,14,Health,pets,3,3,4
91,14,Health,pets,5,2,4
92,28,Entertainment,"music, movies",5,5,5
92,28,Entertainment,"music, movies",5,5,5
93,22,Entertainment,coffee machine,5,4,4
93,22,Entertainment,coffee machine,5,5,5
93,22,Entertainment,coffee machine,3,3,2
94,14,Health,pets,4,4,5
94,14,Health,pets,2,5,5
94,14,Health,pets,1,4,5
94,14,Health,pets,1,3,4
95,22,Safety,windows,4,3,3
95,22,Safety,windows,1,1,4
95,22,Safety,windows,3,5,5
96,28,Energy,"a/c, heater, cooling",4,4,5
96,28,Energy,"a/c, heater, cooling",3,5,5
99,22,Energy,smart shower,3,3,2
99,22,Energy,smart shower,4,5,4
100,28,Safety,"door, lock, alarm",4,4,5
100,28,Safety,"door, lock, alarm",2,4,3
100,28,Safety,"door, lock, alarm",3,4,3
103,22,Safety,carbon monoxide detector,5,4,5
103,22,Safety,carbon monoxide detector,4,4,4
106,25,Health,no one body cant allowed for my with out permission ,4,2,1
106,25,Health,no one body cant allowed for my with out permission ,1,1,1
106,25,Health,no one body cant allowed for my with out permission ,4,5,4
108,28,Safety,"vacuum, clean",1,2,3
108,28,Safety,"vacuum, clean",5,3,3
108,28,Safety,"vacuum, clean",4,4,5
110,22,Entertainment,smart tv,1,3,5
110,22,Entertainment,smart tv,5,2,5
110,22,Entertainment,smart tv,1,4,5
110,22,Entertainment,smart tv,4,3,4
112,28,Entertainment,"tech, charging, wireless, battery",2,5,3
112,28,Entertainment,"tech, charging, wireless, battery",4,5,4
112,28,Entertainment,"tech, charging, wireless, battery",3,5,5
114,22,Entertainment,smart shades,4,5,4
114,22,Entertainment,smart shades,3,5,5
114,22,Entertainment,smart shades,5,5,5
115,28,Health,"food, kitchen, fruits, vegetables",4,3,3
