user_id,Efficiency,Enjoyment,Boredom,Confidence,Anxiety,Personality,group_type,Novelty,Usefulness
44,60.0,5,1,5,1,C,2,3.6666666666666665,3.8333333333333335
76,30.0,3,2,3,2,S,2,4.0,4.0
77,30.0,5,2,4,3,S,1,2.875,3.875
78,30.0,4,3,2,3,D,2,1.75,4.25
84,30.0,2,3,2,4,C,2,3.5,4.125
86,45.0,4,1,4,4,S,1,3.1,3.975
87,25.0,3,2,4,2,C,2,3.0,4.333333333333333
88,20.0,5,5,5,3,S,1,3.0,4.166666666666667
93,55.0,1,3,2,3,S,2,3.5,2.5
98,16.0,4,2,4,2,D,2,3.375,4.125
99,35.0,4,2,4,1,S,2,2.5,4.0
102,40.0,5,1,4,3,S,2,1.5,3.25
103,25.0,3,1,4,1,I,1,3.25,3.75
104,30.0,3,2,4,2,C,1,3.25,4.375
105,15.0,3,3,2,4,S,1,1.5,3.0
107,45.0,4,1,4,2,S,2,3.5,3.5
108,10.0,4,3,3,3,C,2,2.0,4.0
109,30.0,5,1,5,1,C,2,1.0,2.75
110,20.0,3,4,5,1,C,2,2.0,3.3333333333333335
112,25.0,3,2,5,2,D,2,2.875,3.25
117,25.0,3,2,4,3,S,1,3.5,3.8333333333333335
121,35.0,5,2,4,1,I,2,2.125,3.375
122,45.0,4,3,4,2,D,1,3.0,3.5
123,20.0,5,2,5,3,D,2,3.5833333333333335,3.25
125,60.0,5,1,5,2,I,2,4.0,4.0
130,30.0,4,2,4,1,C,2,2.75,3.75
131,70.0,4,1,3,4,C,2,3.2,4.45
133,30.0,4,1,3,5,I,1,3.4166666666666665,4.083333333333333
134,30.0,3,1,3,3,D,1,3.0,3.25
139,47.0,5,1,5,1,C,2,2.5,4.0
140,30.0,5,1,4,3,I,2,3.25,4.0
142,15.0,5,1,5,1,I,1,3.5,4.25
143,45.0,4,2,4,2,D,2,2.8333333333333335,4.666666666666667
145,45.0,5,1,5,1,I,1,3.3,3.8
148,60.0,5,1,5,1,S,2,4.0,4.0
152,105.0,5,1,4,1,D,1,3.8333333333333335,4.5
153,20.0,5,2,3,3,C,2,3.0,3.5
157,45.0,4,1,4,5,C,2,3.5,3.0
159,40.0,3,2,3,5,C,1,3.3333333333333335,2.5833333333333335
160,30.0,4,2,3,3,C,2,3.125,3.4375
161,20.0,5,1,5,1,S,2,1.6666666666666667,3.3333333333333335
162,30.0,4,2,4,3,D,2,3.142857142857143,3.892857142857143
164,25.0,4,1,3,4,S,1,3.4,3.9
165,15.0,1,1,1,1,D,2,2.3333333333333335,3.4166666666666665
166,90.0,4,2,2,5,I,2,3.1,3.4
167,30.0,2,3,1,3,S,2,5.0,4.0
169,30.0,4,2,5,2,C,2,3.0,4.0
170,25.0,5,2,4,2,I,2,3.5,3.5
171,25.0,4,2,5,2,D,2,3.0,3.5
172,180.0,5,1,5,3,I,1,2.6,2.45
173,30.0,3,2,4,3,C,2,4.5,5.0
174,15.0,2,3,3,3,C,1,3.375,4.375
177,35.0,4,4,3,4,I,2,2.0,3.75
178,40.0,5,1,4,2,S,2,3.3,2.7
182,45.0,4,1,3,3,C,2,3.0,3.8333333333333335
183,30.0,3,4,2,5,D,1,2.2,2.6
184,30.0,5,1,4,3,D,1,3.0,3.125
186,35.0,2,1,4,3,I,1,3.25,3.75
191,30.0,4,2,4,3,C,2,2.5,3.5
195,23.0,5,1,5,1,S,2,3.3333333333333335,4.166666666666667
196,15.0,4,2,5,2,S,2,4.0,3.5
198,20.0,4,2,1,1,D,2,3.1666666666666665,3.9166666666666665
205,15.0,4,2,3,1,C,2,4.25,3.0
207,25.0,4,2,3,4,D,2,3.0,3.5
211,20.0,5,1,5,1,D,2,4.0,4.5
212,20.0,4,2,3,4,C,2,1.5,3.5
213,15.0,5,1,5,2,I,2,3.0,4.0
214,30.0,4,2,3,3,S,2,2.0,3.0
218,15.0,5,1,5,1,C,2,2.8333333333333335,3.6666666666666665
232,60.0,4,1,4,3,D,2,4.5,4.0
234,35.0,3,2,4,5,I,1,3.5,3.5
235,83.0,2,2,3,2,D,2,2.8125,2.875
237,30.0,4,3,5,2,I,2,4.5,4.5
239,90.0,5,2,3,4,D,2,2.0,3.0
240,30.0,5,1,5,1,C,2,2.0,3.25
241,20.0,4,2,4,2,S,2,2.375,2.875
246,25.0,5,1,5,3,I,2,3.1666666666666665,3.5
252,60.0,5,1,5,2,C,2,3.5,3.8333333333333335
254,40.0,4,1,4,1,I,1,2.3333333333333335,4.041666666666667
