user_id,Efficiency,Enjoyment,Boredom,Confidence,Anxiety,Personality,group_type
33,20 min,3,2,2,2,S,2
44,60,5,1,5,1,C,2
76,00:30,3,2,3,2,S,2
77,00:30,5,2,4,3,S,1
78,30 minutes,4,3,2,3,D,2
84,30 minutes,2,3,2,4,C,2
86,45 minutes,4,1,4,4,S,1
87,0:25,3,2,4,2,C,2
88,20 mins,5,5,5,3,S,1
89,00:30,4,2,4,1,S,1
91,30,4,3,4,3,C,1
93,00:55,1,3,2,3,S,2
95,10,3,2,4,2,I,2
98,16,4,2,4,2,D,2
99,35 minutes,4,2,4,1,S,2
102,:40,5,1,4,3,S,2
103,00:25 minutes,3,1,4,1,I,1
104,00:30,3,2,4,2,C,1
105,15,3,3,2,4,S,1
107,00:45,4,1,4,2,S,2
108,10,4,3,3,3,C,2
109,30 minutes,5,1,5,1,C,2
110,20,3,4,5,1,C,2
112,25,3,2,5,2,D,2
117,00:25,3,2,4,3,S,1
121,35 minutes,5,2,4,1,I,2
122,45 minutes,4,3,4,2,D,1
123,20 minutes,5,2,5,3,D,2
125,00:60,5,1,5,2,I,2
130,30,4,2,4,1,C,2
131,01:10,4,1,3,4,C,2
133,00:30 minutes,4,1,3,5,I,1
134,00:30-00:45,3,1,3,3,D,1
139,00:47,5,1,5,1,C,2
140,30 minutes,5,1,4,3,I,2
142,15 minutes,5,1,5,1,I,1
143,45,4,2,4,2,D,2
144,20 minutes,4,1,4,3,I,2
145,00:45 minutes,5,1,5,1,I,1
148,1 hour,5,1,5,1,S,2
150,00:30 MINUTES ,5,5,4,4,C,2
152,1:45,5,1,4,1,D,1
153,00:20,5,2,3,3,C,2
157,00:45,4,1,4,5,C,2
159,40,3,2,3,5,C,1
160,00:30,4,2,3,3,C,2
161,20 minutes,5,1,5,1,S,2
162,00:30,4,2,4,3,D,2
164,the main task took me about 20 to 30 minutes,4,1,3,4,S,1
165,15,1,1,1,1,D,2
166,01:30,4,2,2,5,I,2
167,30 minutes,2,3,1,3,S,2
169,00:30,4,2,5,2,C,2
170,00:25,5,2,4,2,I,2
171,25,4,2,5,2,D,2
172,3 hrs,5,1,5,3,I,1
173,30,3,2,4,3,C,2
174,00:15,2,3,3,3,C,1
177,35,4,4,3,4,I,2
178,00:40,5,1,4,2,S,2
182,00:45,4,1,3,3,C,2
183,30,3,4,2,5,D,1
184,30 minutes,5,1,4,3,D,1
186,00:35,2,1,4,3,I,1
188,60 minutes,3,4,3,4,C,2
191,30 minutes,4,2,4,3,C,2
195,00:23,5,1,5,1,S,2
196,15 minutes,4,2,5,2,S,2
198,00:20,4,2,1,1,D,2
205,15 minutes,4,2,3,1,C,2
206,15 minutes,4,3,4,5,C,1
207,25 minutes,4,2,3,4,D,2
211,20 minutes,5,1,5,1,D,2
212,20 minutes,4,2,3,4,C,2
213,15 minutes,5,1,5,2,I,2
214,00:30,4,2,3,3,S,2
217,00.30,2,4,2,5,C,2
218,00:15,5,1,5,1,C,2
221,10 minutes ,5,1,5,2,I,2
222,20 Minutes,5,3,4,3,C,1
229,00.60 sixty minutes ,3,1,3,2,D,1
232,60,4,1,4,3,D,2
234,35 minutes,3,2,4,5,I,1
235,00:83,2,2,3,2,D,2
236,30MINUTES,4,2,5,1,S,2
237,00:30,4,3,5,2,I,2
239,01:30 to 02:30,5,2,3,4,D,2
240,30 minutes,5,1,5,1,C,2
241,00:20,4,2,4,2,S,2
242,00:30,5,1,4,3,C,2
246,25 minutes,5,1,5,3,I,2
252,1 hour,5,1,5,2,C,2
254,00:40,4,1,4,1,I,1
256,1 hour,2,1,5,2,S,2
