id,sentence,domain
7,"my sensor should detect movement, if i get up late night, lights in  my house should go on",safety
8,"the house should automatically detect movement, if a person walks into a dark room, all the lights should go on to enhance convenience and safety",safety
9,"movement should be detected, if there is movement outside of the house, lights should go on for visibility during the dark night",safety
10,"if a person is reading, the house should change the lightning brightness or color, the lights should turn up bright white so that the person can see what he is reading.",safety
11,"There is a storm outside or it is very hot and the ac is on blowing cool air in the house., Wind or fan may be blowing curtains., The system should be able to determine it is a continuous motion of a small degree and therefore not register it and continue to shut down the lights at the designated time. ",energy
12,"A late night shopping trip., A person gets home and it is very late at night. Their hands are full and they can't switch on the lights., The system should instantly turn on the lights when the motion is detected.",energy
13,"Someone with malicious intent is scoping out the house to potentially rob it., A person is prowling around the yard of the smart homeowner., The exterior lights should recognize it is not normal times for a guest and it is not an authorized person or key holder and turn on the lights.",safety
14,"It is night time and a couple are having a relaxing glass of whine while watching a movie in the evening., A man has a romantic house guest and they are sitting on the couch in the living room., The light system should recognize it is getting late and there is a movie on and dim the lights and provide a slightly red hue for romantic atmosphere.",entertainment
15,"A dog or cat is moving around making it seem like someone is in the room, There is a pet causing movement, The system should be able to tell that it is an animal and not a human",safety
16,"The lights should turn off after a set period of time, I leave the room, The lights turn off",energy
17,"The system should detect my movement and turn on the lights., I enter the room., The lights turn on.",energy
18,"They are too short to reach the light switch., A small child goes into their room at night., They system will turn on the lights when the child goes in the room.",energy
19,"The system should detect the movement and turn on a corresponding light in the area., There is movement outside close to the house., Specific outdoor lights turn on to illuminate the movement outside.",safety
20,"The baby moves and the lights are turned on., A baby is sleeping in a dark room., The system should have a sleep mode so the lights stay off.",safety
21,"Specific lights should turn on to illuminate certain areas of the room so as to not reflect onto the TV., The system should detect whether the TV is on or now., The room will light with a specific intensity in certain areas.",entertainment
22,"The cat annoyingly triggers the light for the third time this week., There is a stray cat outside., The lights won't come on when the movement comes from a small creature.",health
23,"The system should be set at such a level to detect slow movement., A person walks into the room very slowly, making it difficult for the system to detect., The system picks up the slow movement and turn on the lights.",safety
24,"You have the lights dimmed for the movie but you are scared and want them bright., You are watching a scary movie, You give the smart lights a code word and the lights immediately come on full force to scare of any monsters, ghosts or demons. Whew, close call! ",entertainment
25,"You leave home with the lights set to go off, but that naughty cat knocks off a vase causing a loud bang. The lights come on running up the electricity too., The cat knocks a vase off., The system recognizes that a non-human creature made the noise and keeps the lights off.",energy
26,"The room is configured to respond after a preset time following no movement or noise., I leave the room with the lights on., The lights in the room should turn off to save energy.",energy
27,"The lights in the room are not on; it is dark inside., I open the door and walk into a dark room., The smart home should respond to my presence and automatically turn the light on.",energy
28,"The lights are configured to respond to movement; it is night time., I move outside around the house., The lights should turn on as a security measure.",safety
29,"The room lights are at their full brightness; we are watching TV together., I enter a room with several people and we watch TV together., The room should respond to the activity in the room and dim the lights for comfort.",entertainment
30,"You are asleep, when your spouse lets out a horrendous fart in his sleep. This loud noise causes the lights to go on, waking the both of you. Your spouse blames the fart on the dog, which causes an argument about his habit of shifting the blame., You are sleeping and your spouse lets out a loud fart., The system should come programmed to ignore common bodily noises so the lights stay off.",health
31,"I'm not talking, but I am moving every once and awhile. It is late afternoon., I am sitting on my couch, watching TV. , The lights should stay on.",entertainment
32,"The lighting was optimized for watching TV, with the lights dimmed. I'm now ready to do some work., I turn off the TV, and sit at my desk. I turn on my computer., The lights are raised to a level that allows better visibility.",entertainment
33,"We turn the TV off. We put on some music, and start talking., I'm in the home with a few friends, and we are having a little party., The lighting in the room switches to something more colorful, and possibly alters the hue slightly, to the beat of the music.",entertainment
34,"The lighting should adjust itself so that all areas are lit up adequately for everyone., A group of people enter the room, The lights come on and light the entire room an appropriate amount.",energy
35,"Although my pet is moving, the motion detector is set for a certain height requirement., My dog or cat has access to my home day and night. , The lights stay off.",safety
36,"Certain lights are optimized for reading near the couch, while the rest are dimmed or off., I'm sitting on the couch reading a book., Only the lights above the couch are on; the others are dimmed.",energy
37,"Set the smart house so that anything meeting a certain height requirement does not turn the automatic lights on., Pets like dogs or cats have free reign outside and can set off the motion detector., Lights should stay off if a dog or cat walks by.",safety
39,"The device I am carrying is authorized and the room is dark, I walk into a dark room with a device that is connected to the smart lighting, The lights turn on to my desired presets. ",energy
40,"The room is authorized to shut down the lights, No one has entered the room and no sound has been made for 10 minutes, The lights will dim for 5 minutes and then shut",energy
41,"It is night time, thus energy savement mode is on and should work properly at night, although no movement likely to  occur there would still be noise from TV., Falling asleep on the couch while watching TV, Lights should not fade off, since there is continous sound coming from the TV.",entertainment
42,"TV is turned ON; it's night time; the person sits by the table., The person is watching TV., Lights should not be dimmed as the person is having dinner or working on their project.",health
43,"Room A has no one inside of it; it is a night time., After staying in the room A, I'm going out to the room B and staying there for a preconfigured time (N T)., All lights in the room A should be turned OFF.",entertainment
44,"Nothing is generating noise inside the room A; it is a night time., Room A has TV turned ON in it. I'm grabbing the remote control and going to the room B. After the N amount of time, I'm using the remote control to turn off the TV., Lights in the room A are getting turned OFF.",entertainment
45,"A person is inside the room A; it's dark inside the room., I'm going from the room B to room A., Lights inside the room A are getting turned ON.",safety
46,"A person is inside the room A; the person has a portable source of light with them (e.g. flashlight)., I'm going from the room B to room A., The lights ALL around the home should be turned ON as the person with the flashlight could be possibly an intruder.",safety
47,"Sensor detected a movement; the shape of that movement is big enough to be a human; it's night time., There is a movement outside of the house., Turn ON the light.",safety
48,"Sensor detected the movement; the shape of that movement is small (e.g cat, dog); it's night time., There is a movement outside the home., The light should be turned OFF as the shape is not big enough to be a potential danger.",safety
49,"TV is turned ON; there was no voice command to turn the lights OFF; it's night time; the person is inside of their bed/lazy chair, The person is watching TV., Lights should be dimmed to the preconfigured %; the color of the light should be based on the program the person is watching (e.g. horror - red, news - blue, action - orange) [ability to customize color scheme should be included].",entertainment
50,"It is night time, dark room and mother does not intend to disturb sleeping baby., A mother walks in to her babies room to check him/her without awakening., Lights should turn on for safety of incoming person to the room at the expense of incovenience.",safety
51,"I walk out of the bathroom and have the timer set for 3 minutes to turn the lights off, I just finished using the bathroom, The lights shut off in the bathroom after 3 minutes",energy
52,"It's night time and the lights in my bedroom are off, I need to get something from my bedroom, When I walk into the room, the lights will turn on",health
53,"I want some of the lights to cycle on and off to make it seem like somebody is at home to deter any criminals, I am on vacation for a few days away from my home, The lights should go on and off for a set amount of time in different rooms to make it seem like somebody is actually at home",safety
54,"The bathroom lights are off because nobody has gone in there in a few hours. The system however should detect it's late at night and that I wouldn't want to be blinded going into the bathroom, I've awaken from sleep to get up to use the bathroom, The system should turn on the lights to a very dim setting in the bathroom",energy
55,"It's late at night and I just came from a dark room, I don't want the lights to be too bright when I walk into the kitchen., I'm waking up for a midnight snack and head to the kitchen, The lights should come on dimmed in the kitchen; comfortable enough to where it won't hurt my eyes but bright enough so I can see what I'm doing",energy
56,"The system should detect the size of what is moving around my house at night, A raccoon walks by my house late at night, The lights should not come on because it is just a raccoon and it would be unnecessary to turn on the lights",energy
57,"It's night time and people are coming in the backyard from the driveway, I am having friends over in the backyard for a bonfire, Turn on only walkway lights so that my guests can see, but keep floodlights off as to not attract bugs",safety
58,"It's nighttime and I'm sitting in the living room, watching a movie, I'm watching a movie, The lights should stay dimmed as to not produce a glare on the screen",entertainment
59,"It's starting to get dark outside and I'm having trouble reading , I would like to read a book in the study, The system should turn the lights on to their full brightness so that I can see what I'm reading",energy
60,"Someone was previously in the room with the lights on but has since left and not reentered., A room has been completely unoccupied for the preconfigured amount of time., The lights should be turned off.",energy
61,"There are no lights on in the room and the room is unoccupied prior to the person entering., A person enters into a darkened room., The lights should turn on.",safety
62,"The person is not a member of the household (is not authorized) and is approaching the home from any side., A person approaches the home at night., Some lights should turn on to scare off a potential intruder.",safety
63,"There are people seated either on furniture or on the floor in front of the TV., A TV in the room is turned on., The room lighting should be changed to the preconfigured setting for watching TV.",entertainment
64,"There had been no significant movement or noise in the room for the preconfigured time, so the lights had been turned off., A sleeping baby awakes during the night and begins to cry in his crib., The lights should remain off.",safety
65,"The family dog is making his nocturnal rounds, trotting in and out of various rooms in the house. There are no lights on in the room and the room is otherwise unoccupied., A dog enters the room., The lights should remain off.",energy
66,"The room is dark. There are children sleeping in their beds in this room. One of their parents has cracked open the door to check on them., A person cracks open a door and peers into a dark room but does not cross the threshold., The lights should remain off.",safety
67,"The smart home should detect no movement., A person falls asleep in a room., The lights should turn off.",safety
68,"The lights are on for reading. There is minimal movement, only the turning of pages, and very little sound other than the person breathing., A person is seated in the room reading., The lights should remain on.",energy
69,"The smart home detects movement but no manual control of the lights., A person has a book in one hand and a drink in the other. They are unable to reach the light switch., The smart home turns the lights on after about 10 seconds.",health
70,"The smart home detects a body that is bigger than a small cat or dog., A trespasser has hopped the fence and is walking up to the home., The smart home turns on security lights in the area of the movement.",safety
71,"The smart home detects the increased activity., A person is being very active and moving around in a room, The lights get brighter as the person continues to move and dims if they sit still.",health
72,"The lights are off because no one is using the room. It is a summer day, so the windows are open. A strong breeze is moving the drapes., Window drapes are blowing in the wind, creating distinct movement in the room and casting changing shadows across the room., The lights should remain off.",energy
73,"It is night and the lights are off., An animal [raccoon, skunk, possum, deer, domestic cat, domestic dog, wild turkey, etc.] approaches the home., The lights should not turn on.",safety
74,"A person was in the room and the lights are on. Sounds are coming through an open window, but no one has been in the room for the preconfigured time., The continuous sound of [rain, traffic, a leaf blower, a lawnmower, chirping birds, dogs barking, etc.] is audible through an open window., The lights should be turned off.",safety
75,"A person was in the room and the lights are on. No one has been in the room for the preconfigured time. Audible through an open window that, say, opens on to a patio or backyard are distinctly human sounds such as children playing or people in conversation., Distinctly human sounds are audible in the room., The lights should turn off.",safety
76,"There are people seated either on furniture or on the floor in front of the TV. There are also other people in a different area of the room engaged in activities other than watching the TV., A TV in the room is turned on., The overall room lighting should not be changed.",entertainment
77,"The room is empty., No movement or noise has been detected for a preconfigured time., The lights fade automatically.",health
78,"The lights turned off, and the person claps., Someone is sitting on the couch reading a book., The lights turn back on, and the movement detection time is automatically extended due to low motion activity but someone being present.",safety
79,"The lights are off in the day time., A person walks into a room where the lights are off., If ambient light is above a certain level, the lights do not come on without a noise stimulus.  If the light is below a preconfigured level, the lights come on.",energy
80,"The lights are off in the evening., A person walks into an empty room where the lights are off., The lights come on gradually, and stay dimmed to a preconfigured level to prevent blinding the person.  A noise stimulus increases light levels at preconfigured levels.",energy
81,"The person is preconfigured as an authorized user (homeowner or close friend)., A person is detected by a motion detector outside the home., Zoned lighting follows the person as they walk outside the home, dimmed to a preconfigured level.",safety
82,"The person is not preconfigured as an authorized user (homeowner or close friend), and the homeowner is home and has not set the system to expect company., A person is detected outside the home by motion detectors after dark., All lights turn on outside the home at full lighting levels, and the owner is notified via text message or some other preconfigured notification system.  External doors are automatically locked.",safety
83,"The person is not preconfigured as an authorized user (homeowner or close friend), and the homeowner has set the system to them being out of town., A person is detected walking outside the home after dark by motion detectors., All outside lights come on at full levels, the owner is notified via a preconfigured notification, and emergency communications are sent (preconfigured options include neighbors, police, etc.)  External doors are automatically locked.",safety
84,"A person is in the room., The television is turned on., Lights near the television dim to a preconfigured level to reduce glare.",entertainment
85,"A person is in the room., The television is turned off., Light levels are raised to a preconfigured level to allow for better visibility in the room.",health
86,"A person is sitting in a chair reading a book.  The system knows that someone walked in but has not walked out of the room., No motion has been detected in a room for several minutes., Lighting is dimmed except for over the reading area.",safety
87,"Night time, house is empty and there is not much movement along the street., A car passes along the street nearby the house with lights on, causing reflection and moving shadows at a steady speed., Lights should turn on, since there is moving object going nearby with lights on causing moving shadows that conceals some of the objects from sensor and when shadow is gone objects would return to their previous visibility causing sensor to detect them as revealed intruders.",energy
88,"It is night time and players want to have an immersive experience to deeply feel the mood of the game, while guest person wears eyeglasses due to his/her visual impairment., Playing an horror video game on TV with game console with a guest., Lights should dim and brighten and accordingly change color on a scale based on intensity of movements, sound level, considering their frequency while playing the game, although it becomes harder for the guest to see objects around due to low light level inside.",entertainment
89,"Night time, it is a horror movie, and dark mood is essential for the environment in order to get deep in the atmosphere. There is risk to trip over the floor, at the expense of not disturbing others by light but extra commotion., A friend walks into the home theater room, returning from outside, while others continue watching cinema., Lights should turn on since it is dark and bears risk for health, regardless of who is inside or type of action ongoing in the room.",energy
90,"Homeowner is taking a bath in the bathroom, and is laying back relaxing., No motion has been detected in the bathroom for several minutes., Lights stay dim but do not turn off.",energy
91,"Device was set into Wife is mad at me"" mode"", Someone is sleeping on the couch and sometimes moving or snoring, Device does not turn back lights again.",energy
92,"Dog has a special chip which makes him accepted by system., You have a dog which sleeps outside the house., Lights stay off, so dog can sleep.",health
93,"Homeowner is cooking food. This is sent by oven to lights., Homeowner is in the kitchen, making noise and tuning on oven., Lights are turned on maximum so he can make food without problems.",health
94,"He wants to work so he needs good lightning., Homeowner is in working room and starting up Laptop., Light is going to maximum for working room.",entertainment
95," The lights are off in the evening. , Your cat walks into the room at night, as she is sleeping there., Device recognises cat by chip and leaves lights off.",safety
96,"There is nobody else in the room. The lights are preconfigured to turn off in 20 minutes after the last movement or noise occurs in the room., I leave the room.
, The lights should automatically fade off in 20 minutes.",energy
97,"I don't snore. There is nobody else in the room. It's nighttime. The book is a paper book, so when I read it, there is a movement of turning the pages and my hands and when I fall asleep that movement stops. The lights are preconfigured to turn off in 20 minutes after the last movement or significant noise occurs in the room., I fall asleep while reading a book.
, The lights should automatically fade off in 20 minutes.",energy
98,"If it's dark in the room, the lights are preconfigured to turn on immediately after there is a movement in the doorway of the room.
, I walk into a dark room., The lights should automatically turn on.",energy
99,"This evening I'm not alone or I don't live alone at all. My partner is sleeping in this room. I don't want to disturb them with the lights getting turned on on me entering the room. The lights in the room are preconfigured to turn on of there is a movement in the doorway in the evening, but they are also configured to ignore such movement if Sleep time"" mode is chosen. Turning on ""Sleep time"" mode for the upcoming evening or the date range of evenings can be programmed in advance., ,I walk into a dark room, but I choose ""Sleep time"" mode before entering the room if it's not already active., The lights should stay off.",entertainment
